id,name,city,bed_capacity,icu_seats,ayushman_enabled,facilities,rating,contact,address
1,All India Institute of Medical Sciences (AIIMS),Delhi,2300,150,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Pediatric ICU | Cardiac ICU",4.8,+91-11-26588500,"Ansari Nagar, New Delhi"
2,Sir Ganga Ram Hospital,Delhi,675,80,Yes,"Emergency | ICU | Cardiology | Nephrology | Gastroenterology | Bone Marrow Transplant",4.7,+91-11-25735200,"Rajinder Nagar, New Delhi"
3,Fortis Escorts Heart Institute,Delhi,310,45,Yes,"Cardiac ICU | Cardiology | Cardiothoracic Surgery | Electrophysiology | Pediatric Cardiology",4.6,+91-11-47134800,"Okhla Road, New Delhi"
4,Indraprastha Apollo Hospital,Delhi,695,100,Yes,"Emergency | ICU | Neurosciences | Oncology | Transplant | Robotic Surgery",4.7,+91-11-71791090,"Sarita Vihar, New Delhi"
5,Max Super Speciality Hospital (Saket),Delhi,530,75,Yes,"Emergency | ICU | Oncology | Cardiology | Neurosciences | Transplant",4.7,+91-11-26515050,"Press Enclave Road, Saket, New Delhi"
6,BLK Super Speciality Hospital,Delhi,650,90,Yes,"Emergency | ICU | Oncology | Cardiology | Bone Marrow Transplant | Robotic Surgery",4.6,+91-11-30403040,"Pusa Road, New Delhi"
7,Medanta The Medicity,Gurgaon,1250,150,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.8,+91-124-4141414,"Sector 38, Gurgaon"
8,Fortis Memorial Research Institute,Gurgaon,1000,120,Yes,"Emergency | ICU | Oncology | Cardiology | Neurosciences | Pediatric Care",4.7,+91-124-4962200,"Sector 44, Gurgaon"
9,Jaypee Hospital,Noida,525,65,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.4,+91-120-4122222,"Sector 128, Noida"
10,Sharda Hospital,Noida,750,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.3,+91-120-4122222,"Knowledge Park III, Noida"
11,Rajiv Gandhi Cancer Institute & Research Centre,Delhi,400,50,Yes,"Oncology | Radiation Therapy | Medical Oncology | Surgical Oncology | ICU | Emergency",4.6,+91-11-47022222,"Sector 5, Rohini, Delhi"
12,Safdarjung Hospital,Delhi,1531,120,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.3,+91-11-26707400,"Ansari Nagar West, New Delhi"
13,Max Super Speciality Hospital (Patparganj),Delhi,400,55,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.5,+91-11-43066666,"IP Extension, Patparganj, Delhi"
14,Apollo Spectra Hospitals (Karol Bagh),Delhi,60,15,Yes,"Day Care Surgery | Orthopedics | Laparoscopy | ENT | Plastic Surgery | Urology",4.4,+91-11-30404444,"Karol Bagh, New Delhi"
15,Dharamshila Narayana Superspeciality Hospital,Delhi,250,40,Yes,"Oncology | Bone Marrow Transplant | ICU | Emergency | Radiation Oncology | Surgical Oncology",4.4,+91-11-43066353,"Vasundhara Enclave, Delhi"
16,Batra Hospital & Medical Research Centre,Delhi,495,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Gastroenterology",4.5,+91-11-29958747,"Tughlakabad Institutional Area, Delhi"
17,Moolchand Kharaiti Ram Hospital,Delhi,325,45,Yes,"Emergency | ICU | Maternity | Cardiology | Orthopedics | Nephrology",4.4,+91-11-42000000,"Lajpat Nagar III, New Delhi"
18,St. Stephen's Hospital,Delhi,650,70,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Gynecology",4.2,+91-11-23911221,"Tis Hazari, Delhi"
19,Fortis Hospital (Shalimar Bagh),Delhi,262,35,Yes,"Emergency | ICU | Cardiology | Orthopedics | Neurosciences | Nephrology",4.5,+91-11-45302222,"Shalimar Bagh, Delhi"
20,Max Smart Super Speciality Hospital (Saket),Delhi,265,40,Yes,"Emergency | ICU | Bariatric Surgery | Orthopedics | Urology | Gastroenterology",4.6,+91-11-43027777,"Press Enclave Marg, Saket, Delhi"
21,Venkateshwar Hospital,Delhi,450,55,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.4,+91-11-61218100,"Sector 18, Dwarka, Delhi"
22,Aakash Healthcare Super Speciality Hospital,Delhi,230,35,Yes,"Emergency | ICU | Orthopedics | Nephrology | Cardiology | Neurosciences",4.5,+91-11-46666666,"Sector 3, Dwarka, Delhi"
23,Manipal Hospital (Dwarka),Delhi,380,50,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-11-49630000,"Sector 6, Dwarka, Delhi"
24,Pushpawati Singhania Research Institute,Delhi,150,25,Yes,"Gastroenterology | Hepatology | ICU | Emergency | Endoscopy | Liver Transplant",4.5,+91-11-26960000,"Press Enclave Marg, Saket, Delhi"
25,Primus Super Speciality Hospital,Delhi,120,20,Yes,"Orthopedics | Spine Surgery | ICU | Emergency | Trauma Care | Sports Medicine",4.4,+91-11-66202400,"Chanakyapuri, New Delhi"
26,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,162,25,Yes,"Emergency | ICU | Cardiology | Diabetology | Nephrology | Orthopedics",4.5,+91-11-42776222,"Vasant Kunj, New Delhi"
27,Indian Spinal Injuries Centre,Delhi,145,20,Yes,"Spine Surgery | Rehabilitation | ICU | Emergency | Orthopedics | Neurology",4.6,+91-11-42255200,"Vasant Kunj, New Delhi"
28,National Heart Institute,Delhi,160,30,Yes,"Cardiology | Cardiac Surgery | ICU | Emergency | Non-Invasive Cardiology | Pediatric Cardiology",4.5,+91-11-45842222,"East of Kailash, New Delhi"
29,Columbia Asia Hospital (Ghaziabad),Delhi,100,15,Yes,"Emergency | ICU | General Surgery | Pediatrics | Gynecology | Orthopedics",4.3,+91-120-4603000,"NH 24, Ghaziabad"
30,Sanjay Gandhi Memorial Hospital,Delhi,350,40,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-11-27053801,"Mangolpuri, Delhi"
31,Deen Dayal Upadhyay Hospital,Delhi,500,55,Yes,"Emergency | ICU | General Medicine | Pediatrics | Surgery | Orthopedics",4.0,+91-11-25494403,"Hari Nagar, Delhi"
32,Dr. B.L. Kapur Memorial Hospital,Delhi,650,75,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-11-30403040,"Pusa Road, New Delhi"
33,Jaipur Golden Hospital,Delhi,325,40,Yes,"Emergency | ICU | Cardiology | Nephrology | Orthopedics | Neurosciences",4.4,+91-11-47011111,"Rohini, Delhi"
34,Action Cancer Hospital,Delhi,100,15,Yes,"Oncology | Radiation Therapy | Medical Oncology | Surgical Oncology | ICU | Emergency",4.4,+91-11-43066666,"Paschim Vihar, Delhi"
35,Apollo Cradle (Nehru Place),Delhi,80,12,Yes,"Maternity | NICU | Pediatrics | Gynecology | Fertility | Neonatology",4.6,+91-11-46464646,"Nehru Place, New Delhi"
36,Sitaram Bhartia Institute of Science & Research,Delhi,75,10,Yes,"Maternity | Pediatrics | Gynecology | Orthopedics | Diabetes Care | ICU",4.5,+91-11-30403040,"Qutab Institutional Area, New Delhi"
37,Artemis Hospital,Gurgaon,550,70,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Orthopedics",4.7,+91-124-6767000,"Sector 51, Gurgaon"
38,Paras Hospital,Gurgaon,250,35,Yes,"Emergency | ICU | Cardiology | Neurosciences | Orthopedics | Gastroenterology",4.5,+91-124-4585555,"Sector 44, Gurgaon"
39,Columbia Asia Hospital (Gurgaon),Gurgaon,90,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.4,+91-124-3989896,"Sector 86, Gurgaon"
40,Narayana Superspeciality Hospital (Gurgaon),Gurgaon,350,45,Yes,"Emergency | ICU | Cardiology | Cardiac Surgery | Nephrology | Neurosciences",4.5,+91-124-4511111,"Sector 56, Gurgaon"
41,Fortis Hospital (Gurgaon),Gurgaon,180,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.6,+91-124-4962200,"Sector 62, Gurgaon"
42,Cloudnine Hospital (Gurgaon),Gurgaon,60,10,Yes,"Maternity | NICU | Pediatrics | Fertility | Gynecology | Neonatology",4.7,+91-124-4666000,"Sector 47, Gurgaon"
43,Park Hospital,Gurgaon,100,15,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.3,+91-124-4517000,"Sector 48, Gurgaon"
44,Max Super Speciality Hospital (Gurgaon),Gurgaon,120,18,Yes,"Emergency | ICU | Orthopedics | Urology | Gastroenterology | General Surgery",4.5,+91-124-4588444,"Sector 4, Gurgaon"
45,W Pratiksha Hospital,Gurgaon,140,20,Yes,"Maternity | NICU | Pediatrics | Gynecology | Fertility | General Medicine",4.5,+91-124-4622222,"Sector 56, Gurgaon"
46,Alchemist Hospital,Gurgaon,150,22,Yes,"Emergency | ICU | Cardiology | Orthopedics | Neurosciences | Gastroenterology",4.4,+91-124-4141414,"Sector 21, Gurgaon"
47,Mediways Hospital,Gurgaon,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.2,+91-124-4111111,"Sector 70, Gurgaon"
48,Apex Hospital,Gurgaon,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-124-4222222,"Sector 55, Gurgaon"
49,Hermes Hospital,Gurgaon,60,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-124-4888888,"Sector 14, Gurgaon"
50,Sarvodaya Hospital (Sector 8),Gurgaon,200,30,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.4,+91-124-4677777,"Sector 8, Gurgaon"
51,Global Health City (Max East Coast),Gurgaon,300,40,Yes,"Emergency | ICU | Oncology | Cardiology | Neurosciences | Transplant",4.6,+91-124-4888888,"Sector 38A, Gurgaon"
52,Kalyani Hospital,Gurgaon,85,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-124-4111222,"Sector 23, Gurgaon"
53,Life Care Hospital,Gurgaon,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.2,+91-124-4111333,"Sector 31, Gurgaon"
54,City Hospital,Gurgaon,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-124-4111444,"Sector 12, Gurgaon"
55,Apollo Medics Super Speciality Hospital,Noida,200,30,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.4,+91-120-2450000,"Sector 101, Noida"
56,Kailash Hospital (Sector 71),Noida,350,45,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-120-2488000,"Sector 71, Noida"
57,Felix Hospital,Noida,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.4,+91-120-4111111,"Sector 137, Noida"
58,Prakash Hospital,Noida,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-120-2444444,"Sector 33, Noida"
59,Fortis Hospital (Noida),Noida,225,35,Yes,"Emergency | ICU | Cardiology | Orthopedics | Neurosciences | Nephrology",4.5,+91-120-2409000,"Sector 62, Noida"
60,Max Super Speciality Hospital (Vaishali),Noida,180,25,Yes,"Emergency | ICU | Orthopedics | Urology | Gastroenterology | General Surgery",4.4,+91-120-4914444,"Vaishali, Ghaziabad"
61,Yatharth Hospital (Noida Extension),Noida,200,30,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-120-1234567,"Greater Noida West, Noida"
62,Metro Hospital (Noida),Noida,160,24,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-120-2444444,"Sector 11, Noida"
