name,generic_name,type,dosage,manufacturer,composition,prescription_required,usage,precautions,common_side_effects,serious_side_effects
Tylenol,Acetaminophen,Analgesic/Antipyretic,500mg,Johnson & Johnson,Acetaminophen,false,"Fever, mild to moderate pain","Do not exceed 4g/day; avoid alcohol",Stomach upset|Rash,Liver failure|Severe skin reactions
Ibuprofen,Ibuprofen,NSAID,400mg,Pfizer,Ibuprofen,false,"Fever, headache, muscle pain, inflammation","Take with food; avoid in stomach ulcers",Nausea|Heartburn|Dizziness,Stomach bleeding|Kidney damage|Heart attack risk
Advil,Ibuprofen,NSAID,200mg,Pfizer,Ibuprofen,false,"Fever, headache, menstrual cramps","Not for more than 10 days without doctor advice",Stomach upset|Dizziness|Rash,Gastrointestinal bleeding|Allergic reactions
Aspirin,Acetylsalicylic acid,NSAID,325mg,Bayer,Acetylsalicylic acid,false,"Fever, headache, anti-platelet for heart","Avoid in children with viral infections; bleeding risk",Upset stomach|Heartburn,Tinnitus|Reye's syndrome|Severe bleeding
Aleve,Naproxen sodium,NSAID,220mg,Bayer,Naproxen sodium,false,"Fever, headache, arthritis, back pain","Longer acting; take with food",Heartburn|Dizziness|Headache,Stomach bleeding|Kidney issues|Heart problems
Motrin,Ibuprofen,NSAID,200mg,J&J,Ibuprofen,false,"Fever, toothache, minor aches","Take every 4-6 hours; with food if stomach sensitive",Nausea|Bloating|Dizziness,Ulcers|Liver damage|Allergic shock
Excedrin,Acetaminophen/Aspirin/Caffeine,Combination Analgesic,500/250/65mg,GlaxoSmithKline,Acetaminophen|Aspirin|Caffeine,false,"Migraine, tension headache","Contains caffeine; limit caffeine intake",Nervousness|Upset stomach|Dizziness,Liver damage|Bleeding risk|Overdose
Benadryl,Diphenhydramine,Antihistamine/Antiemetic,25mg,J&J,Diphenhydramine HCl,false,"Allergies, cold symptoms, motion sickness","Causes drowsiness; avoid driving",Drowsiness|Dry mouth|Dizziness,Severe allergic reaction|Difficulty urinating
Sudafed,Pseudoephedrine,Decongestant,30mg,J&J,Pseudoephedrine HCl,false,"Nasal congestion, sinus pressure","May raise blood pressure; behind counter purchase",Nervousness|Insomnia|Headache,High blood pressure|Heart palpitations|Anxiety
Robitussin DM,Dextromethorphan/Guaifenesin,Cough Suppressant/Expectorant,10/200mg,Pfizer,Dextromethorphan HBr|Guaifenesin,false,"Cough with mucus, chest congestion","Drink plenty of water; do not mix with MAOIs",Drowsiness|Nausea|Dizziness,Serotonin syndrome|Allergic reactions
Pepto-Bismol,Bismuth subsalicylate,Antidiarrheal/Antacid,262mg,Procter & Gamble,Bismuth subsalicylate,false,"Diarrhea, heartburn, upset stomach","May darken stool/tongue; avoid with aspirin allergy",Dark stools|Constipation|Ringing ears,Reye's syndrome|Bleeding risk
